ms_subclass,ms_zoning,lot_frontage,lot_area,lot_shape,land_contour,lot_config,neighborhood,condition_1,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod/add,roof_style,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating_qc,central_air,electrical,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_type,garage_yr_blt,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,misc_val,mo_sold,yr_sold,sale_type,saleprice
60_MSC,RL,68.87899941826643,13517,IR1,Lvl,CulDSac,Sawyer,RRAe,1Fam,2Story,6,8,1976,2005,Gable,HdBoard,Plywood,BrkFace,289.0,4,3,CBlock,3,3,0,GLQ,533.0,Unf,0.0,192.0,725.0,5,1,SBrkr,725,754,0,1479,0.0,0.0,2,1,3,1,4,6,Typ,0,0,Attchd,1976.0,RFn,2.0,475.0,3,3,1,0,44,0,0,0,0,0,Mar,2010,WD ,130500
60_MSC,RL,43.0,11492,IR1,Lvl,CulDSac,SawyerW,Norm,1Fam,2Story,7,5,1996,1997,Gable,VinylSd,VinylSd,BrkFace,132.0,4,3,PConc,4,3,0,GLQ,637.0,Unf,0.0,276.0,913.0,5,1,SBrkr,913,1209,0,2122,1.0,0.0,2,1,4,1,4,8,Typ,1,3,Attchd,1997.0,RFn,2.0,559.0,3,3,1,0,74,0,0,0,0,0,Apr,2009,WD ,220000
20_MSC,RL,68.0,7922,Reg,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,7,1953,2007,Gable,VinylSd,VinylSd,None,0.0,3,4,CBlock,3,3,0,GLQ,731.0,Unf,0.0,326.0,1057.0,3,1,SBrkr,1057,0,0,1057,1.0,0.0,1,0,3,1,4,5,Typ,0,0,Detchd,1953.0,Unf,1.0,246.0,3,3,1,0,52,0,0,0,0,0,Jan,2010,WD ,109000
60_MSC,RL,73.0,9802,Reg,Lvl,Inside,Timber,Norm,1Fam,2Story,5,5,2006,2007,Gable,VinylSd,VinylSd,None,0.0,3,3,PConc,4,3,0,Unf,0.0,Unf,0.0,384.0,384.0,4,1,SBrkr,744,700,0,1444,0.0,0.0,2,1,3,1,3,7,Typ,0,0,BuiltIn,2007.0,Fin,2.0,400.0,3,3,1,100,0,0,0,0,0,0,Apr,2010,WD ,174000
50_MSC,RL,82.0,14235,IR1,Lvl,Inside,SawyerW,Norm,1Fam,1.5Fin,6,8,1900,1993,Gable,Wd Sdng,Plywood,None,0.0,3,3,PConc,2,4,0,Unf,0.0,Unf,0.0,676.0,676.0,3,1,SBrkr,831,614,0,1445,0.0,0.0,2,0,3,1,3,6,Typ,0,0,Detchd,1957.0,Unf,2.0,484.0,3,3,0,0,59,0,0,0,0,0,Mar,2010,WD ,138500
20_MSC,RL,137.0,16492,IR1,Lvl,Corner,NAmes,PosA,1Fam,1Story,6,6,1966,2002,Gable,BrkFace,Plywood,None,0.0,4,3,CBlock,3,3,0,ALQ,247.0,Rec,713.0,557.0,1517.0,5,1,SBrkr,1888,0,0,1888,0.0,0.0,2,1,2,1,4,6,Mod,1,4,Attchd,1966.0,Fin,2.0,578.0,3,3,1,0,0,0,0,0,0,0,Jun,2010,WD ,190000
180_MSC,RM,35.0,3675,Reg,Lvl,Inside,Edwards,Norm,TwnhsE,SFoyer,6,5,2005,2006,Gable,VinylSd,VinylSd,BrkFace,82.0,3,3,PConc,4,3,3,GLQ,547.0,Unf,0.0,0.0,547.0,4,1,SBrkr,1072,0,0,1072,1.0,0.0,2,0,2,1,3,5,Typ,0,0,Basment,2005.0,Fin,2.0,525.0,3,3,1,0,44,0,0,0,0,0,Jun,2006,New,140000
20_MSC,RL,68.87899941826643,12160,IR1,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,5,1959,1959,Hip,Plywood,Plywood,BrkFace,180.0,3,3,CBlock,3,3,0,Rec,1000.0,Unf,0.0,188.0,1188.0,2,1,SBrkr,1188,0,0,1188,1.0,0.0,1,0,3,1,3,6,Typ,0,0,Attchd,1959.0,RFn,2.0,531.0,3,3,1,0,0,0,0,0,0,0,May,2010,COD,142000
20_MSC,RL,68.87899941826643,15783,Reg,Lvl,Inside,OldTown,Artery,1Fam,1Story,5,5,1952,1952,Gable,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,0,Rec,292.0,Unf,0.0,632.0,924.0,3,1,SBrkr,924,0,0,924,0.0,0.0,1,0,2,1,3,6,Typ,0,0,Detchd,1952.0,Unf,1.0,420.0,3,3,1,0,324,0,0,0,0,400,Jun,2007,WD ,112500
60_MSC,RL,70.0,11606,IR1,HLS,Inside,NAmes,Norm,1Fam,2Story,5,5,1969,1969,Gable,Plywood,Plywood,BrkFace,192.0,3,3,PConc,4,3,2,Rec,650.0,Unf,0.0,390.0,1040.0,3,1,SBrkr,1040,1040,0,2080,0.0,1.0,1,2,5,1,2,9,Typ,2,3,Attchd,1969.0,Unf,2.0,504.0,3,3,1,335,0,0,0,0,0,0,Sep,2007,WD ,135000
